0,1,2,3
Miaa cancels Naga flights,"Some domestic flights between Manila and Naga City were cancelled on Wednesday due to bad weather.

The Manila International Airport Authority (Miaa) said the following flights have been cancelled as of 11:50 a.m.:

2P 2261 Manila-Naga
2P 2262 Naga-Manila

2P – PAL Express

The weather bureau earlier said a tail-end of a cold front will bring cloudy skies with scattered rain and thunderstorms in the Bicol Region, Calabarzon, Eastern Visayas, Oriental Mindoro and Marinduque.",27/12/2017,https://newsinfo.inquirer.net/955503/miaa-cancels-naga-flights-miaa-bicol-naga-pal-canceled-flights-aviation-travel
"Rains to persist in Bicol, Visayas as ‘Urduja’ slows down","Moderate to heavy rainfall would persist over Bicol and Visayas regions as tropical storm “Urduja” remained almost stationary on its track, the Philippine Atmospheric Geophysical and Astronomical Services Administration (Pagasa) said Friday afternoon.

In its 2:00 p.m. severe weather bulletin, the state weather bureau said moderate to heavy rainfall is expected within Urduja’s 500 kilometer diameter.

Urduja was last tracked 230 kilometers east of Borongan City, Eastern Samar, Pagasa said, adding that it slowed down while moving northwest at 5 kilometers per hour (kph).

The tropical storm packed maximum sustained winds of 75 kph and gustiness of up to 90 kph, Pagasa said.

The state weather bureau also stressed that sea travel remains risky for fisher folks and small boat operators over the eastern seaboards of Bicol region and Visayas.

Signal No. 2 was still hoisted over the provinces of Northern Samar, Eastern Samar, Samar, and Biliran

Meanwhile, Signal No. 1 is still raised over Catanduanes; Camarines Sur; Albay; Sorsogon; Romblon; Masbate, including Burias and Ticao Islands; Leyte; Southern Leyte; Northern Cebu; Capiz; Aklan; Northern Iloilo; and Dinagat Islands.

Pagasa advised the public and local disaster risk reduction and management councils to take appropriate actions and monitor its severe weather bulletins. ",15/12/2017,https://newsinfo.inquirer.net/952743/weather-pagasa-tropical-storm-urduja-bicol-visayas
Bicol braces for stormy weekend as ‘Urduja’ nears,"LEGAZPI CITY—Local governments in Albay and Camarines Sur provinces suspended classes on Wednesday due to heavy rains as Tropical Depression “Urduja” moved toward the Eastern Visayas and Bicol regions.

In Albay, Gov. Al Francis Bichara announced on Tuesday night the province-wide suspension of classes in preschool and elementary levels.

He also advised residents to avoid crossing swollen rivers as a precaution.

Sailing of small seacraft and fishing boats were also suspended after the government weather bureau raised a gale warning over the province.

In Camarines Sur, Gov. Miguel Luis Villafuerte suspended classes in public and private schools in the province “to ensure safety of the populace … especially schoolchildren and students.”

The independent component city of Naga in Camarines Sur, however, did not suspend classes on Wednesday.

Bichara and Villafuerte did not specify when classes would resume.

Urduja is expected to make landfall on Saturday either in Bicol or Eastern Visayas, according to the Philippine Atmospheric, Geophysical and Astronomical Services Administration.

In Sorsogon province, Castilla Mayor Joan Lorenzano-Aquende suspended classes in all levels in the town on Wednesday afternoon due to heavy rains in the town.

According to Aquende, 13 coastal villages in her town are prone to storm surges while at least five villages are high-risk to flooding and landslides.

In Oriental Mindoro province, three houses were washed out after a dike collapsed in Naujan town on Wednesday, according to reports from the Regional Disaster Risk Reduction and Management Council (RDRRMC) in Mimaropa (Mindoro, Marinduque, Romblon, Palawan).

Eugene Cabrera, RDRRMC director in Mimaropa, said no one was reported hurt in the incident. ",14/12/2017,https://newsinfo.inquirer.net/952282/bicol-braces-for-stormy-weekend-as-urduja-nears
‘Urduja’ threatens Bicol; expected landfall on Saturday,"Tropical Depression “Urduja” continued to move closer to the Bicol region early Wednesday, the state weather bureau said.

While there was no storm signal raised at posting time, Bicol, Mindanao, Mimaropa and Calabarzon were expected to have cloudy skies with scattered to widespread rain and thunderstorms, the Philippine Atmospheric, Geophysical and Astronomical Services Administration said.

Weather specialist Chris Perez said the tropical depression could make landfall over Bicol or Eastern Visayas by Saturday.

As of 3 a.m., Wednesday, Urduja was packing maximum sustained winds of 55 kilometers per hour and gusts of up of 65 kph. It was moving west northwest at 6 kph, and was last spotted 455 kilometers east of Surigao City, Surigao del Norte.

It is expected to intensify into a tropical storm within 36 hours.

Metro Manila, the Cagayan Valley and the regions of the Cordillera and Central Luzon will continue to have cloudy skies with scattered rain due to the amihan or northeast monsoon.

Partly cloudy to cloudy skies with isolated light rains are expected over the Ilocos region. ",13/12/2017,https://newsinfo.inquirer.net/951945/urduja-threatens-bicol-expected-landfall-on-saturday
No suspension of classes in CamSur; jeepney strike still a go in Bicol,"NAGA CITY — After the Pinagkaisang Samahan ng mga Tsuper at operator Nationwide (Piston) called off the two-day nationwide transport strike which was initially set on Monday and Tuesday, Camarines Sur governor Miguel “Migz” Villafuerte lifted the suspension of classes in the province on Sunday afternoon.

On a post in his official Facebook account, the governor revoked yesterday’s announcement saying suspension of classes and work in government offices on Monday was lifted due to Piston’s earlier declaration.

However, Piston Bicol will still push through with its two-day transport strike according to Ramon Excovilla, the group’s executive director.

Meanwhile, in Albay, classes are still suspended on Monday according to Governor Francis Bichara in his own posted announcement on Facebook.

On the other hand, Naga City, an independent component city in Camarines Sur, did not suspend classes despite the looming transport strike. ",03/12/2017,https://newsinfo.inquirer.net/949463/no-suspension-of-classes-in-camsur-jeepney-strike-still-a-go-in-bicol
Soldier shot dead by suspected NPA in Albay,"LEGAZPI CITY — An Army soldier was gunned down on Saturday morning by suspected communist rebels at a marketplace in Daraga town in Albay province, police said.

Chief Inspector Arthur Gomez, Bicol police spokesperson, said Private First Class George Rey Murillo, 27, a resident of Castilla town in Sorsogon province, was attacked by three unidentified armed men believed to be members of the New People’s Army (NPA) Special Partisan Unit (SPARU) in Barangay (village) Anislag at around 6 a.m.

The report said the victim was doing market chores when shot to death.

Gomez said the victim sustained bullet wounds in his head, killing him instantly. The attackers fled and carted away the victim’s service firearms.

Investigations are on going.",18/11/2017,https://newsinfo.inquirer.net/945980/soldier-shot-dead-by-suspected-npa-in-albay
"3 children fall into sinkhole in Bicol, go missing","LEGAZPI CITY – Disaster authorities are looking for three children who reportedly fell into a sinkhole along the shoreline of Mercedes town in Camarines Norte province, police said Thursday.

Senior Inspector Maria Luisa Calubaquib, Bicol police spokesperson, said siblings Jasmine, 8, John Adrian, 5, and Jommel 3, all surnamed Sierra, were strolling with their father Jerry, 45, along the shores of their Barangay (village) Mangisoc at about 7 p.m. when they fell into the hole and into the water.

The children were swept by the waves and were separated from their father, Calubaquib said.

Jerry managed to swim ashore, a report from the town Disaster Risk Reduction and Management Office said.

Search and retrieval operations are ongoing.",16/11/2017,https://newsinfo.inquirer.net/945556/breaking-news-bicol-camarines-norte-mercedes-drowning
800 cops from Bicol to help secure Asean summit,"LEGAZPI CITY – Bicol province has dispatched a police battalion, or eight hundred police personnel, to help secure the 31st Association of South East Asian Nation (Asean) summit in Metro Manila on Nov. 13 to 15.
Sr. Insp Maria Luisa Calubaquib, Bicol police spokesperson, said the cops, who underwent Basic Internal Security Operation Course (BISOC) at the PNP regional command center, were deployed to ensure that the three-day summit would be peaceful and safe for the Asean delegates and their families.
Calubaquib said most of the events, which would take place at the Philippine International Convention Center including the Cultural Center of the Philippines (CCP), would be tightly secured by police and military.",11/11/2017,https://newsinfo.inquirer.net/944727/800-cops-from-bicol-to-help-secure-asean-summit
700 stranded in Bicol ports due to ‘Salome’,"LEGAZPI CITY – Seven hundred passengers were stranded in different ports in Bicol as Tropical Depression “Salome” batters the region with heavy rains, gusty winds, and rough seas on Thursday, according to the regional Office of Civil Defense (OCD).

Of the 700 passengers, 465 who were on their way to Samar were stranded in Matnog port in Sorsogon province. One hundred twenty passengers were also stranded in Tabaco City in Albay.

In Masbate City, City Social Welfare and Development officers are getting the personal information of 38 stranded passengers in case of an evacuation, said Alexis Mabini, local disaster risk reduction and management officer 2 of Masbate City.

All flights to and from the airports in Albay, Camarines Sur, and Masbate have also been cancelled since 11 a.m.

Electricity, water supply, and telecommunication throughout the region have so far been normal according to Akim Berces, officer-in-charge of the Operation Section of OCD Bicol. ",09/11/2017,https://newsinfo.inquirer.net/944189/salome-tropical-depression-weather-bicol-stranded-port-boat-trip-samar-sorsogon-albay
Sorsogon town police station attacked,"GUBAT, Sorsogon — A group of suspected New People’s Army (NPA) rebels attacked the municipal police station of Gubat in Sorsogon province late Friday night.

Senior Inspector Nicolas Malipot, police chief, said the suspects, clad in green uniforms, fired several shots that hit the back and side portion of the police station at around 9:26 p.m.

Malipot said the armed men fired at the building from a distance of about 50 meters away in the attack that lasted for about two minutes, then withdrew on board motorcycles towards Barangay (village) Buenavista at the southwest portion of the town.

He said the police conducted hot pursuit operations, though witnesses, who requested not to be named, said nothing like that happened.

The attack in Gubat town was the second one after the daring attack last month on the outpost at the business district here that killed one cop.",04/11/2017,https://newsinfo.inquirer.net/942885/sorsogon-town-police-station-attacked
